precinct_id,district_id,total,white,black,asian,hispanic,other,GEOID,democratic_votes,republican_votes,total_votes,district,representative,party,incumbent_race,margin
170,3,3822,2651,748,84,154,185,45007-Pendleton,1255,1651,2962,3,Jeff Duncan,Republican,White,0.68
171,3,1273,1090,94,2,48,39,45007-Piedmont,169,578,758,3,Jeff Duncan,Republican,White,0.68
172,3,2314,2028,117,53,51,65,45007-Piercetown,391,1525,1934,3,Jeff Duncan,Republican,White,0.68
173,3,3805,3055,281,80,265,124,45007-Powdersville,660,1878,2566,3,Jeff Duncan,Republican,White,0.68
174,3,1266,1185,21,4,23,33,45007-Rock Mill,192,821,1020,3,Jeff Duncan,Republican,White,0.68
175,3,928,736,152,4,17,19,45007-Rock Spring,114,499,621,3,Jeff Duncan,Republican,White,0.68
176,3,975,805,127,0,5,38,45007-Shirley's Store,93,533,634,3,Jeff Duncan,Republican,White,0.68
177,3,3145,2688,168,42,112,135,45007-Simpsonville,501,1636,2157,3,Jeff Duncan,Republican,White,0.68
178,3,1745,698,884,3,99,61,45007-South Fant,327,227,562,3,Jeff Duncan,Republican,White,0.68
179,3,975,876,61,2,9,27,45007-Starr,62,614,681,3,Jeff Duncan,Republican,White,0.68
180,3,2999,2630,106,19,96,148,45007-Three And Twenty,345,1742,2104,3,Jeff Duncan,Republican,White,0.68
181,3,906,805,49,0,17,35,45007-Toney Creek,66,475,547,3,Jeff Duncan,Republican,White,0.68
182,3,1656,1445,87,56,25,43,45007-Town Creek,399,1146,1561,3,Jeff Duncan,Republican,White,0.68
183,3,923,865,29,0,16,13,45007-Townville,100,543,649,3,Jeff Duncan,Republican,White,0.68
184,3,1766,1047,453,5,157,104,45007-Varennes,262,365,635,3,Jeff Duncan,Republican,White,0.68
185,3,2364,2052,81,7,129,95,45007-West Pelzer,246,1293,1554,3,Jeff Duncan,Republican,White,0.68
186,3,685,549,93,4,18,21,45007-West Savannah,121,352,473,3,Jeff Duncan,Republican,White,0.68
187,3,3645,3038,252,18,189,148,45007-White Plains,469,2191,2697,3,Jeff Duncan,Republican,White,0.68
188,3,2675,2072,395,5,116,87,45007-Williamston,391,1316,1723,3,Jeff Duncan,Republican,White,0.68
189,3,3795,3096,183,5,389,122,45007-Williamston Mill,272,1583,1866,3,Jeff Duncan,Republican,White,0.68
190,3,940,891,20,0,9,20,45007-Wright's School,68,586,659,3,Jeff Duncan,Republican,White,0.68
