precinct_id,total,white,black,asian,hispanic,other
545,1874,1410,289,59,53,63
546,3540,2475,789,51,139,86
547,1845,1691,40,24,58,32
548,4119,3569,143,110,147,150
549,1706,1536,39,23,32,76
550,1280,1203,11,21,26,19
551,2201,1823,137,30,142,69
552,1124,1016,22,16,33,37
553,895,841,10,6,19,19
554,1047,992,0,7,20,28
555,895,64,778,1,38,14
556,2170,484,988,18,611,69
557,911,786,66,8,19,32
558,1036,871,76,11,48,30
559,1183,188,733,8,218,36
560,856,585,161,20,41,49
561,1754,298,1241,38,135,42
562,1310,560,577,15,96,62
563,1176,230,789,8,117,32
564,2496,670,1261,57,409,99
565,1395,248,939,50,114,44
566,1538,333,1087,2,102,14
567,1021,455,307,21,186,52
568,2105,697,736,34,569,69
569,2023,618,930,27,370,78
570,2667,1193,969,68,330,107
571,4186,1501,1874,151,469,191
572,797,197,495,5,63,37
573,637,100,246,1,247,43
574,2114,509,642,19,898,46
575,2355,715,669,70,840,61
576,2011,525,440,28,946,72
577,1409,966,251,36,95,61
578,2305,666,1226,46,226,141
579,1434,294,988,10,85,57
580,2025,250,1641,17,65,52
581,1552,153,1308,10,65,16
582,1801,206,1480,2,69,44
583,1044,733,193,18,55,45
584,2252,1226,540,50,337,99
585,2106,2052,12,9,17,16
586,751,465,215,12,20,39
587,1281,759,390,22,39,71
588,903,810,31,25,19,18
589,1060,903,94,19,19,25
590,1293,980,181,58,57,17
591,1640,995,355,17,204,69
592,1741,749,773,74,64,81
593,1027,857,115,17,15,23
594,1867,1495,222,21,46,83
595,2219,1067,904,24,123,101
596,349,65,246,4,21,13
597,1231,1052,64,36,38,41
598,3329,2021,846,172,155,135
599,1129,717,238,21,107,46
600,1306,1081,122,16,38,49
601,1247,905,187,28,54,73
602,1534,828,579,14,51,62
603,1967,1212,527,96,65,67
604,1537,965,406,25,58,83
605,5083,3540,964,217,203,159
606,3749,2508,775,107,226,133
607,4177,3188,401,184,230,174
608,1348,585,674,12,31,46
609,2424,1794,370,58,97,105
610,1385,951,183,21,139,91
611,1184,939,118,28,58,41
612,793,609,69,24,38,53
613,2518,2139,222,38,48,71
614,1680,1403,125,39,55,58
615,1630,1289,149,44,67,81
616,5261,4015,493,246,289,218
617,1643,1483,41,22,47,50
618,1305,1226,15,23,13,28
619,1144,1089,8,5,16,26
620,1783,1470,146,33,69,65
621,908,349,506,1,29,23
622,1293,298,946,13,21,15
623,848,240,565,0,25,18
624,1023,522,429,4,38,30
625,1478,679,722,3,36,38
626,2032,1579,345,14,40,54
627,1889,536,1171,7,125,50
628,1427,737,496,2,160,32
629,2398,1615,589,5,109,80
630,1487,1411,7,7,30,32
631,1177,696,419,1,29,32
632,1236,539,619,5,28,45
633,1360,1236,44,4,34,42
634,2400,1218,944,1,170,67
635,1879,1718,54,11,44,52
636,1405,1249,40,11,56,49
637,1196,912,214,2,32,36
638,1628,1381,169,7,28,43
639,2130,1669,342,1,63,55
640,1858,1633,92,2,79,52
641,1016,392,546,4,46,28
642,1395,414,854,11,75,41
643,1303,392,833,3,50,25
644,1665,848,691,31,53,42
645,1699,1026,531,5,61,76
646,1322,938,258,10,54,62
647,1594,1430,77,9,42,36
648,2506,1900,291,55,203,57
649,1704,1514,82,4,31,73
650,1357,808,393,7,108,41
651,467,391,38,1,16,21
652,2122,1626,320,38,81,57
653,1613,1399,105,0,65,44
654,1824,1358,326,20,48,72
655,1092,1004,22,1,26,39
656,1228,602,439,2,139,46
657,973,318,597,6,34,18
658,1106,1035,27,3,6,35
659,1841,1606,95,2,69,69
660,749,715,10,0,8,16
661,1119,967,79,7,31,35
662,1555,805,678,1,26,45
663,812,659,130,0,4,19
664,1017,672,306,0,11,28
665,750,535,188,1,14,12
666,1779,643,1064,9,13,50
667,1083,309,722,10,18,24
668,1594,814,672,20,41,47
669,1097,391,649,4,32,21
670,1262,884,306,1,36,35
671,1274,1001,194,3,30,46
672,1887,809,1013,0,25,40
673,1867,1268,478,8,46,67
674,1357,856,436,5,11,49
675,236,122,94,2,5,13
676,922,731,139,3,15,34
677,1255,929,224,4,43,55
678,1205,904,188,0,53,60
679,1501,986,390,11,35,79
680,1522,1055,328,24,41,74
681,532,419,73,0,7,33
682,637,348,270,1,3,15
683,819,563,205,2,28,21
684,445,388,30,0,14,13
685,590,463,87,1,22,17
686,1933,888,905,4,48,88
687,1064,511,466,14,13,60
688,1548,749,653,3,94,49
689,1521,923,477,42,21,58
690,1341,725,519,27,17,53
691,2024,760,1143,14,51,56
692,1828,860,820,34,18,96
693,2294,1691,525,9,19,50
694,1198,905,186,1,67,39
695,1477,1070,344,3,17,43
696,2336,1572,596,23,78,67
697,1880,1165,438,3,213,61
698,1192,926,55,0,162,49
699,430,329,67,1,12,21
700,941,833,63,0,17,28
701,2490,1314,811,18,266,81
702,2393,1338,828,11,149,67
703,857,651,172,3,7,24
704,372,309,33,0,8,22
705,1279,894,316,1,27,41
706,691,505,151,0,6,29
707,754,599,135,0,5,15
708,920,460,385,2,47,26
709,584,483,79,0,11,11
710,150,103,37,0,6,4
711,516,342,147,1,9,17
712,554,135,397,6,10,6
713,1812,1051,646,7,51,57
714,665,314,309,3,20,19
715,774,609,127,0,28,10
716,393,314,55,0,8,16
717,2822,2235,435,17,36,99
718,787,256,502,3,12,14
719,1050,427,565,9,20,29
720,1426,841,462,57,28,38
721,1583,236,1266,15,42,24
722,1225,501,639,15,30,40
723,1469,559,851,0,45,14
724,279,152,112,0,6,9
725,262,64,182,10,2,4
726,1026,386,589,3,30,18
727,284,96,166,0,15,7
728,2431,1533,741,17,45,95
729,482,146,316,1,5,14
730,1096,219,834,4,25,14
731,1095,750,290,0,28,27
732,1364,520,775,5,35,29
733,568,433,91,0,36,8
734,331,194,110,0,20,7
735,1026,453,507,0,17,49
736,625,367,227,0,12,19
737,1982,1420,424,6,39,93
738,396,179,197,0,5,15
739,1186,1096,46,3,9,32
740,913,261,627,1,8,16
741,1108,383,678,0,26,21
742,798,569,167,1,21,40
743,602,445,130,0,19,8
744,367,121,232,0,1,13
745,1168,937,92,4,38,97
746,771,414,319,2,9,27
747,1638,1063,469,0,46,60
748,1195,569,507,36,29,54
749,279,199,62,1,3,14
750,687,451,198,0,19,19
751,742,214,494,0,16,18
752,1195,837,275,3,24,56
753,307,164,133,0,5,5
754,702,542,88,2,16,54
755,762,523,183,1,25,30
756,787,611,114,1,20,41
757,1480,767,613,28,45,27
758,1543,662,743,6,90,42
759,1505,337,1094,2,25,47
760,1723,1101,445,31,63,83
761,1665,1246,292,22,62,43
762,1600,871,590,1,65,73
763,312,204,99,0,4,5
764,475,381,55,5,26,8
765,1897,1200,630,0,29,38
766,660,137,479,0,26,18
767,756,464,256,1,20,15
768,1465,1111,246,8,59,41
769,818,622,160,2,11,23
770,359,156,176,1,4,22
771,1719,638,1015,3,19,44
772,3127,1928,1034,34,41,90
773,1447,508,897,1,19,22
774,1697,229,1416,3,30,19
775,2085,1227,765,0,26,67
776,1565,598,906,3,11,47
777,1638,1314,197,18,48,61
778,1034,340,619,8,37,30
779,2520,1683,696,36,36,69
780,1360,41,1286,0,1,32
781,1543,795,650,9,49,40
782,2857,2355,331,48,37,86
783,1776,1126,569,6,35,40
784,3014,1525,1370,2,43,74
785,968,635,289,0,24,20
786,1902,1663,151,5,36,47
787,1511,851,590,5,14,51
788,840,296,507,0,8,29
789,1587,989,529,9,24,36
790,742,273,440,0,14,15
791,1873,934,865,0,16,58
792,1224,1096,72,1,16,39
793,1066,720,303,1,17,25
794,2292,1238,950,3,61,40
795,716,287,396,0,11,22
796,1088,698,332,0,24,34
797,303,170,119,0,3,11
798,427,144,189,0,8,86
799,2192,1678,402,26,28,58
800,670,529,106,1,12,22
801,577,406,132,1,10,28
802,1094,602,393,4,32,63
803,612,333,255,1,11,12
804,1412,794,546,1,17,54
805,2844,1352,1335,6,31,120
806,712,257,358,2,62,33
807,401,211,167,1,3,19
808,225,98,98,0,5,24
809,2495,1048,1181,2,105,159
810,386,266,91,0,4,25
811,1220,880,251,0,33,56
812,1078,408,569,1,42,58
813,504,318,150,1,15,20
814,1791,414,1264,0,41,72
815,2548,556,1798,3,73,118
816,1401,792,443,32,64,70
817,1704,1020,450,51,93,90
818,1547,908,381,19,122,117
819,778,708,25,12,14,19
820,698,487,128,9,43,31
821,1173,968,92,22,23,68
822,2591,1531,574,148,197,141
823,2407,1749,399,60,103,96
824,944,603,205,11,51,74
825,1259,1087,53,24,46,49
826,1600,1343,136,24,35,62
827,744,576,90,14,20,44
828,1563,1036,333,29,72,93
829,1631,1047,383,17,74,110
830,1128,713,241,23,104,47
831,804,605,114,10,28,47
832,2186,1538,447,16,81,104
833,2271,1175,818,23,110,145
834,1629,1381,80,22,56,90
835,1823,1236,406,18,75,88
836,1804,1536,102,33,78,55
837,2998,2059,427,39,322,151
838,2110,1320,425,16,210,139
839,1534,703,597,27,115,92
