precinct_id,district,representative,party,incumbent_race,margin
287,1,Nancy Mace,Republican,White,0.55
288,1,Nancy Mace,Republican,White,0.55
289,1,Nancy Mace,Republican,White,0.55
290,1,Nancy Mace,Republican,White,0.55
291,1,Nancy Mace,Republican,White,0.55
292,1,Nancy Mace,Republican,White,0.55
293,1,Nancy Mace,Republican,White,0.55
294,1,Nancy Mace,Republican,White,0.55
295,1,Nancy Mace,Republican,White,0.55
296,1,Nancy Mace,Republican,White,0.55
297,1,Nancy Mace,Republican,White,0.55
298,1,Nancy Mace,Republican,White,0.55
299,1,Nancy Mace,Republican,White,0.55
300,1,Nancy Mace,Republican,White,0.55
301,1,Nancy Mace,Republican,White,0.55
302,1,Nancy Mace,Republican,White,0.55
303,1,Nancy Mace,Republican,White,0.55
304,1,Nancy Mace,Republican,White,0.55
305,1,Nancy Mace,Republican,White,0.55
306,1,Nancy Mace,Republican,White,0.55
307,1,Nancy Mace,Republican,White,0.55
308,1,Nancy Mace,Republican,White,0.55
309,1,Nancy Mace,Republican,White,0.55
310,1,Nancy Mace,Republican,White,0.55
311,1,Nancy Mace,Republican,White,0.55
312,1,Nancy Mace,Republican,White,0.55
313,1,Nancy Mace,Republican,White,0.55
314,1,Nancy Mace,Republican,White,0.55
315,1,Nancy Mace,Republican,White,0.55
316,1,Nancy Mace,Republican,White,0.55
317,1,Nancy Mace,Republican,White,0.55
318,1,Nancy Mace,Republican,White,0.55
319,1,Nancy Mace,Republican,White,0.55
320,1,Nancy Mace,Republican,White,0.55
321,1,Nancy Mace,Republican,White,0.55
322,1,Nancy Mace,Republican,White,0.55
323,1,Nancy Mace,Republican,White,0.55
324,1,Nancy Mace,Republican,White,0.55
325,1,Nancy Mace,Republican,White,0.55
326,1,Nancy Mace,Republican,White,0.55
327,1,Nancy Mace,Republican,White,0.55
328,1,Nancy Mace,Republican,White,0.55
329,1,Nancy Mace,Republican,White,0.55
330,1,Nancy Mace,Republican,White,0.55
331,1,Nancy Mace,Republican,White,0.55
332,1,Nancy Mace,Republican,White,0.55
333,1,Nancy Mace,Republican,White,0.55
334,1,Nancy Mace,Republican,White,0.55
335,1,Nancy Mace,Republican,White,0.55
336,1,Nancy Mace,Republican,White,0.55
337,1,Nancy Mace,Republican,White,0.55
338,1,Nancy Mace,Republican,White,0.55
339,1,Nancy Mace,Republican,White,0.55
340,1,Nancy Mace,Republican,White,0.55
341,1,Nancy Mace,Republican,White,0.55
342,1,Nancy Mace,Republican,White,0.55
343,1,Nancy Mace,Republican,White,0.55
344,1,Nancy Mace,Republican,White,0.55
345,1,Nancy Mace,Republican,White,0.55
346,1,Nancy Mace,Republican,White,0.55
347,1,Nancy Mace,Republican,White,0.55
348,1,Nancy Mace,Republican,White,0.55
349,1,Nancy Mace,Republican,White,0.55
350,1,Nancy Mace,Republican,White,0.55
351,1,Nancy Mace,Republican,White,0.55
352,1,Nancy Mace,Republican,White,0.55
353,1,Nancy Mace,Republican,White,0.55
354,1,Nancy Mace,Republican,White,0.55
355,1,Nancy Mace,Republican,White,0.55
356,1,Nancy Mace,Republican,White,0.55
357,1,Nancy Mace,Republican,White,0.55
358,1,Nancy Mace,Republican,White,0.55
359,1,Nancy Mace,Republican,White,0.55
360,1,Nancy Mace,Republican,White,0.55
361,1,Nancy Mace,Republican,White,0.55
362,1,Nancy Mace,Republican,White,0.55
363,1,Nancy Mace,Republican,White,0.55
364,1,Nancy Mace,Republican,White,0.55
365,1,Nancy Mace,Republican,White,0.55
366,1,Nancy Mace,Republican,White,0.55
367,1,Nancy Mace,Republican,White,0.55
368,1,Nancy Mace,Republican,White,0.55
369,1,Nancy Mace,Republican,White,0.55
370,1,Nancy Mace,Republican,White,0.55
371,1,Nancy Mace,Republican,White,0.55
372,1,Nancy Mace,Republican,White,0.55
373,1,Nancy Mace,Republican,White,0.55
374,1,Nancy Mace,Republican,White,0.55
375,1,Nancy Mace,Republican,White,0.55
376,1,Nancy Mace,Republican,White,0.55
377,1,Nancy Mace,Republican,White,0.55
378,1,Nancy Mace,Republican,White,0.55
379,1,Nancy Mace,Republican,White,0.55
380,1,Nancy Mace,Republican,White,0.55
381,1,Nancy Mace,Republican,White,0.55
382,1,Nancy Mace,Republican,White,0.55
383,1,Nancy Mace,Republican,White,0.55
384,1,Nancy Mace,Republican,White,0.55
385,1,Nancy Mace,Republican,White,0.55
386,1,Nancy Mace,Republican,White,0.55
387,1,Nancy Mace,Republican,White,0.55
388,1,Nancy Mace,Republican,White,0.55
389,1,Nancy Mace,Republican,White,0.55
390,1,Nancy Mace,Republican,White,0.55
391,1,Nancy Mace,Republican,White,0.55
392,1,Nancy Mace,Republican,White,0.55
393,1,Nancy Mace,Republican,White,0.55
394,1,Nancy Mace,Republican,White,0.55
395,1,Nancy Mace,Republican,White,0.55
396,1,Nancy Mace,Republican,White,0.55
397,1,Nancy Mace,Republican,White,0.55
398,1,Nancy Mace,Republican,White,0.55
399,1,Nancy Mace,Republican,White,0.55
400,1,Nancy Mace,Republican,White,0.55
401,1,Nancy Mace,Republican,White,0.55
402,1,Nancy Mace,Republican,White,0.55
403,1,Nancy Mace,Republican,White,0.55
404,1,Nancy Mace,Republican,White,0.55
405,1,Nancy Mace,Republican,White,0.55
406,1,Nancy Mace,Republican,White,0.55
407,1,Nancy Mace,Republican,White,0.55
408,1,Nancy Mace,Republican,White,0.55
409,1,Nancy Mace,Republican,White,0.55
410,1,Nancy Mace,Republican,White,0.55
411,1,Nancy Mace,Republican,White,0.55
412,1,Nancy Mace,Republican,White,0.55
413,1,Nancy Mace,Republican,White,0.55
414,1,Nancy Mace,Republican,White,0.55
415,1,Nancy Mace,Republican,White,0.55
416,1,Nancy Mace,Republican,White,0.55
417,1,Nancy Mace,Republican,White,0.55
418,1,Nancy Mace,Republican,White,0.55
419,1,Nancy Mace,Republican,White,0.55
420,1,Nancy Mace,Republican,White,0.55
421,1,Nancy Mace,Republican,White,0.55
422,1,Nancy Mace,Republican,White,0.55
423,1,Nancy Mace,Republican,White,0.55
424,1,Nancy Mace,Republican,White,0.55
425,1,Nancy Mace,Republican,White,0.55
426,1,Nancy Mace,Republican,White,0.55
427,1,Nancy Mace,Republican,White,0.55
428,1,Nancy Mace,Republican,White,0.55
429,1,Nancy Mace,Republican,White,0.55
430,1,Nancy Mace,Republican,White,0.55
431,1,Nancy Mace,Republican,White,0.55
432,1,Nancy Mace,Republican,White,0.55
433,1,Nancy Mace,Republican,White,0.55
434,1,Nancy Mace,Republican,White,0.55
435,1,Nancy Mace,Republican,White,0.55
436,1,Nancy Mace,Republican,White,0.55
437,1,Nancy Mace,Republican,White,0.55
438,1,Nancy Mace,Republican,White,0.55
439,6,Jim Clyburn,Democrat,Black,0.65
440,6,Jim Clyburn,Democrat,Black,0.65
441,6,Jim Clyburn,Democrat,Black,0.65
442,6,Jim Clyburn,Democrat,Black,0.65
443,6,Jim Clyburn,Democrat,Black,0.65
444,6,Jim Clyburn,Democrat,Black,0.65
445,6,Jim Clyburn,Democrat,Black,0.65
446,6,Jim Clyburn,Democrat,Black,0.65
447,6,Jim Clyburn,Democrat,Black,0.65
448,6,Jim Clyburn,Democrat,Black,0.65
449,6,Jim Clyburn,Democrat,Black,0.65
450,6,Jim Clyburn,Democrat,Black,0.65
451,1,Nancy Mace,Republican,White,0.55
452,6,Jim Clyburn,Democrat,Black,0.65
453,6,Jim Clyburn,Democrat,Black,0.65
454,6,Jim Clyburn,Democrat,Black,0.65
455,6,Jim Clyburn,Democrat,Black,0.65
456,6,Jim Clyburn,Democrat,Black,0.65
457,6,Jim Clyburn,Democrat,Black,0.65
458,6,Jim Clyburn,Democrat,Black,0.65
459,6,Jim Clyburn,Democrat,Black,0.65
460,6,Jim Clyburn,Democrat,Black,0.65
461,6,Jim Clyburn,Democrat,Black,0.65
462,6,Jim Clyburn,Democrat,Black,0.65
463,6,Jim Clyburn,Democrat,Black,0.65
464,6,Jim Clyburn,Democrat,Black,0.65
465,6,Jim Clyburn,Democrat,Black,0.65
466,6,Jim Clyburn,Democrat,Black,0.65
467,6,Jim Clyburn,Democrat,Black,0.65
468,6,Jim Clyburn,Democrat,Black,0.65
469,6,Jim Clyburn,Democrat,Black,0.65
470,6,Jim Clyburn,Democrat,Black,0.65
471,6,Jim Clyburn,Democrat,Black,0.65
472,6,Jim Clyburn,Democrat,Black,0.65
473,1,Nancy Mace,Republican,White,0.55
474,6,Jim Clyburn,Democrat,Black,0.65
475,6,Jim Clyburn,Democrat,Black,0.65
476,6,Jim Clyburn,Democrat,Black,0.65
477,6,Jim Clyburn,Democrat,Black,0.65
