precinct_id,GEOID,democratic_votes,republican_votes,total_votes
645,45021-Gaffney Ward No. 5,246,446,697
646,45021-Gaffney Ward No. 6,169,465,636
647,45021-Goucher and Thicketty,133,902,1044
648,45021-Grassy Pond,331,1531,1874
649,45021-Holly Grove and Buffalo,119,787,915
650,45021-Limestone Mill,167,280,449
651,45021-Littlejohn's and Sarratt's,27,299,329
652,45021-Macedonia,272,1107,1392
653,45021-Morgan,132,915,1056
654,45021-Musgrove Mill,295,870,1177
655,45021-Ninety Nine and Cherokee Falls,61,635,706
656,45021-Pleasant Grove,319,367,694
657,45021-Pleasant Meadows,372,153,531
658,45021-Timber Ridge,79,695,776
659,45021-White Plains,143,843,993
660,45021-Wilkinsville and Metcalf,25,423,450
661,45021-Wood's,131,792,926
662,45023-Baldwin Mill,379,344,730
663,45023-Baton Rouge,122,382,510
664,45023-Beckhamville,242,386,633
665,45023-Blackstock,179,348,528
666,"45023-Chester, Ward 1",661,366,1041
667,"45023-Chester, Ward 2",420,112,541
668,"45023-Chester, Ward 3",506,497,1012
669,"45023-Chester, Ward 4",429,161,599
670,"45023-Chester, Ward 5",252,556,819
671,45023-Edgemoor,270,709,991
672,45023-Eureka Mill,617,438,1069
673,45023-Fort Lawn,388,743,1138
674,45023-Great Falls,235,333,574
675,45023-Halsellville,71,80,152
676,45023-Hazelwood,160,444,609
677,45023-Lando/Landsford,216,644,874
678,45023-Lowrys,200,574,786
679,45023-Richburg,411,713,1137
680,45023-Rodman,334,718,1063
681,45023-Rossville,71,272,346
682,45023-Wilksburg,190,208,401
683,45025-Angelus-Catarrh,145,378,527
684,45025-Bay Springs,29,241,279
685,45025-Black Creek,97,234,336
686,45025-Brocks Mill,509,476,1001
687,45025-Cash,378,355,740
688,45025-Center Grove-Winzo,314,371,688
689,45025-Cheraw No. 1,352,561,924
690,45025-Cheraw No. 2,331,386,720
691,45025-Cheraw No. 3,577,300,897
692,45025-Cheraw No. 4,441,429,880
693,45025-Courthouse,426,955,1402
694,45025-Dudley-Mangum,152,555,708
695,45025-Grants Mill,308,609,921
696,45025-Jefferson,407,812,1233
697,45025-McBee,346,739,1093
698,45025-Middendorf,72,452,527
699,45025-Mt. Croghan,56,246,304
700,45025-Ousleydale,62,490,554
701,45025-Pageland No. 1,488,778,1278
