precinct_id,state,total_votes,ei_white_dem_vote_fraction,ei_white_rep_vote_fraction,ei_white_party_of_choice,ei_white_precinct_confidence,ei_black_dem_vote_fraction,ei_black_rep_vote_fraction,ei_black_party_of_choice,ei_black_precinct_confidence,ei_asian_dem_vote_fraction,ei_asian_rep_vote_fraction,ei_asian_party_of_choice,ei_asian_precinct_confidence,ei_hispanic_dem_vote_fraction,ei_hispanic_rep_vote_fraction,ei_hispanic_party_of_choice,ei_hispanic_precinct_confidence
74,Oregon,4702,0.486824,0.513176,republican,0.5132,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
75,Oregon,2173,0.538499,0.461501,democratic,0.5385,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,1.0,0.0,democratic,1.0
76,Oregon,2479,0.408736,0.591264,republican,0.5913,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,0.753557,0.246443,democratic,0.7536
77,Oregon,1967,0.561319,0.438681,democratic,0.5613,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
78,Oregon,103,0.613165,0.386835,democratic,0.6132,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
79,Oregon,393,0.671554,0.328446,democratic,0.6716,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
80,Oregon,1123,0.667335,0.332665,democratic,0.6673,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
81,Oregon,401,0.594421,0.405579,democratic,0.5944,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
82,Oregon,411,0.602458,0.397542,democratic,0.6025,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
83,Oregon,285,0.69274,0.30726,democratic,0.6927,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,0.773623,0.226377,democratic,0.7736
84,Oregon,16,0.0,1.0,republican,1.0,0.158585,0.841415,republican,0.8414,0.938098,0.061902,democratic,0.9381,0.326999,0.673001,republican,0.673
85,Oregon,172,0.645352,0.354648,democratic,0.6454,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,1.0,0.0,democratic,1.0
86,Oregon,95,0.637731,0.362269,democratic,0.6377,0.939287,0.060713,democratic,0.9393,1.0,0.0,democratic,1.0,0.773623,0.226377,democratic,0.7736
87,Oregon,2727,0.446658,0.553342,republican,0.5533,0.939287,0.060713,democratic,0.9393,0.119832,0.880168,republican,0.8802,0.392586,0.607414,republican,0.6074
88,Oregon,1161,0.362091,0.637909,republican,0.6379,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
89,Oregon,1496,0.44173,0.55827,republican,0.5583,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
90,Oregon,51,0.408115,0.591885,republican,0.5919,0.939287,0.060713,democratic,0.9393,0.335239,0.664761,republican,0.6648,0.601045,0.398955,democratic,0.601
91,Oregon,3845,0.143654,0.856346,republican,0.8563,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
92,Oregon,1783,0.191219,0.808781,republican,0.8088,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
93,Oregon,583,0.342685,0.657315,republican,0.6573,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
94,Oregon,3170,0.149835,0.850165,republican,0.8502,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
95,Oregon,146,0.315084,0.684916,republican,0.6849,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
96,Oregon,385,0.209989,0.790011,republican,0.79,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
97,Oregon,3013,0.234023,0.765977,republican,0.766,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
98,Oregon,1177,0.265302,0.734698,republican,0.7347,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
99,Oregon,12,0.0,1.0,republican,1.0,0.939287,0.060713,democratic,0.9393,0.0,1.0,republican,1.0,0.0,1.0,republican,1.0
100,Oregon,792,0.218043,0.781957,republican,0.782,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
101,Oregon,2186,0.259532,0.740468,republican,0.7405,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
102,Oregon,276,0.208683,0.791317,republican,0.7913,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
103,Oregon,253,0.316581,0.683419,republican,0.6834,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.0,1.0,republican,1.0
104,Oregon,46,0.158477,0.841523,republican,0.8415,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.773623,0.226377,democratic,0.7736
105,Oregon,3871,0.439853,0.560147,republican,0.5601,0.939287,0.060713,democratic,0.9393,0.938098,0.061902,democratic,0.9381,0.110476,0.889524,republican,0.8895
